Clabel:   0; set:  1; Glabel:   1; (VT) round-off, flic-flac 0.5 turn on, stret salto-f 0.5 turn off
Clabel:   1; set:  1; Glabel:  19; (VT) round-off, flic-flac on, stret salto-b with 2 turn off
Clabel:   2; set:  1; Glabel:  20; (VT) round-off, flic-flac on, stret salto-b 1 turn off
Clabel:   3; set:  1; Glabel:  21; (VT) round-off, flic-flac on, stret salto-b with 1.5 turn off
Clabel:   4; set:  1; Glabel:  23; (VT) round-off, flic-flac on, stret salto-b with 2.5 turn off
Clabel:   5; set:  1; Glabel:  24; (VT) round-off, flic-flac on, stret salto-b off
Clabel:   6; set: 21; Glabel:  67; (FX) sw-leap 0.5 turn
Clabel:   7; set: 21; Glabel:  68; (FX) sw-leap 1 turn
Clabel:   8; set: 21; Glabel:  72; (FX) sp-leap 1 turn
Clabel:   9; set: 21; Glabel:  73; (FX) sp-leap 1.5+ turn
Clabel:  10; set: 21; Glabel:  74; (FX) sw-leap (fw-leg-change x-split)
Clabel:  11; set: 21; Glabel:  77; (FX) sp-jump 1 turn
Clabel:  12; set: 21; Glabel:  81; (FX) sp-jump leg-sep-180par
Clabel:  13; set: 21; Glabel:  83; (FX) johnson 0.5 turn
Clabel:  14; set: 21; Glabel:  88; (FX) strad-pik/side sp-jump 1 turn
Clabel:  15; set: 21; Glabel:  96; (FX) sw-leap-ring
Clabel:  16; set: 21; Glabel: 104; (FX) stag jump      
Clabel:  17; set: 22; Glabel: 134; (FX) 2 turn (180 leg)
Clabel:  18; set: 22; Glabel: 137; (FX) 2 turn (straight)
Clabel:  19; set: 22; Glabel: 146; (FX) 3 turn (below horiz)
Clabel:  20; set: 22; Glabel: 147; (FX) 2 turn (below horiz)
Clabel:  21; set: 22; Glabel: 148; (FX) 1 turn (below horiz)
Clabel:  22; set: 22; Glabel: 149; (FX) 2 turn (horiz fwd)
Clabel:  23; set: 22; Glabel: 150; (FX) 1 turn (horiz fwd)
Clabel:  24; set: 24; Glabel: 156; (FX) arabian 2x salto tuck
Clabel:  25; set: 24; Glabel: 163; (FX) salto-f tuck
Clabel:  26; set: 24; Glabel: 169; (FX) aerial walk fw
Clabel:  27; set: 24; Glabel: 171; (FX) salto-f stret 2 tw
Clabel:  28; set: 24; Glabel: 172; (FX) salto-f stret 1 tw
Clabel:  29; set: 24; Glabel: 174; (FX) salto-f stret 1.5 tw
Clabel:  30; set: 24; Glabel: 177; (FX) salto-f st, ft-together
Clabel:  31; set: 25; Glabel: 181; (FX) 2x salto-b st
Clabel:  32; set: 25; Glabel: 182; (FX) salto-b stret with 3 tw
Clabel:  33; set: 25; Glabel: 183; (FX) salto-b stret 2 tw
Clabel:  34; set: 25; Glabel: 187; (FX) salto-b stret 2.5 tw
Clabel:  35; set: 25; Glabel: 188; (FX) salto-b stret 1.5 tw
Clabel:  36; set: 25; Glabel: 191; (FX) 2x salto-b tuck 2 tw
Clabel:  37; set: 25; Glabel: 192; (FX) 2x salto-b tuck 1 tw
